Year,Biomass,Coal,Natural gas,Fuel,Biogasoil,Biogas,Briquette,LPG,Electricity,Total
2010,107765,137489,87023,294249,27939,,123,32067,90707,777362
2011,105241,144502,94190,334727,45804,,121,37060,97998,859643
2012,99238,123022,97512,389030,59227,,130,42883,106656,917698
2013,95286,42729,98546,378049,67025,,130,47801,114962,844528
2014,92748,55064,97417,363713,72868,,58,51942,121743,855553
2015,84643,70228,95354,323331,91834,120.0,50,54361,124344,844265
2016,79704,63504,77434,329094,78760,145.0,107,56626,132411,817785
2017,74723,58800,89029,331454,93882,157.0,107,61299,136781,846232
2018,67522,100506,95587,320730,130276,163.0,36,64471,154052,933343
2019,61784,167412,94622,261971,191889,167.0,28,66198,160621,1004692
2020,65209,113416,97476,222339,179300,177.0,188,68372,159121,905598
2021,60392,87820,89557,235941,194059,180.0,0,72921,168375,909245
